"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Calendar module functionality","user can create a new event under the Calendar module","0","0","1","0","0"
"","Login function","User can log in with valid credentials","0","0","12","0","0"
"","Deck Management","User can create a new list of card under any board","0","0","5","0","0"
"","Add File To Favorites Rename Add Comment","","0","6","1","0","0"
"","Deck Management","User can add a new card on any list on the current board","0","0","5","0","0"
"","Calendar module functionality","user can display weekly calendar view","0","0","1","0","0"
"","Deck Management","User can create a new board","0","0","5","0","0"
"","Deck Management","User can assign a card to themselves","0","3","2","0","0"
"","Calendar module functionality","user can display daily calendar view","0","0","1","0","0"
"","US-002 - Upload/Edit/Delete File Module Functionality","User can see the total number of files and folders under the files list table","0","0","1","0","0"
"","US-002 - Upload/Edit/Delete File Module Functionality","User can upload a file","1","0","0","0","0"
"","US-002 - Upload/Edit/Delete File Module Functionality","User can delete any selected item from its three dots menu","0","0","1","0","0"
"","Calendar module functionality","user can display monthly calendar view","0","0","1","0","0"
"","US-002 - Upload/Edit/Delete File Module Functionality","User can create a new folder","0","0","1","0","0"
